ID,barangay_name,city_name,province_name,children,elderly,women,youth,women_rep,ph_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_reprsum,youth_youth_sum
"2283925",Pag-Asa (Pob.),Kalayaan,Palawan,,,,,,,"0.0",,"0.0",,"0","0","0","2283925","0.111097693091907",,,,,,
"2285307",Pag-Asa (Pob.),Kalayaan,Palawan,,,,,,,"0.0",,"0.0",,"0","0","0","2285307","0.0535137152040319",,,,,,
"2561919",Agutayan,Balabac,Palawan,,,,,,"1.199698713123798","0.488369281","0.933480399","0.894437341","0.0","0","0","0","2561919","0.0849795142449927",0,0,0,0,0,0
"2561920",Agutayan,Balabac,Palawan,"5.248662","0.761903","14.941755","5.164006","6.814795","0.865716431762131","0.488369281","0.933480399","0.894437341","0.0","0","0","0","2561920","0.109651551637239",5.24866199978995,0.761902999969508,30.0951499987956,14.941754999402,6.81479499972727,5.16400599979333
"2561921",Agutayan,Balabac,Palawan,,,,,,"1.231306407902692","0.488369281","0.933480399","0.894437341","0.0","0","0","0","2561921","0.0358756314253147",0,0,0,0,0,0
"2563298",Catagupan,Balabac,Palawan,,,,,,"3.36547185102392","0.502208183","0.925575843","0.917858161",,"0","0","0","2563298","0.0241097155249212",0,0,0,0,0,0
"2563302",Agutayan,Balabac,Palawan,,,,,,"0.771641773948992","0.488369281","0.933480399","0.894437341","0.0","0","0","0","2563302","0.254865020237848",0,0,0,0,0,0
"2563303",Agutayan,Balabac,Palawan,,,,,,"0.363137578694665","0.488369281","0.933480399","0.894437341","0.0","0","0","0","2563303","0.10226698412255",0,0,0,0,0,0
"2564676",Catagupan,Balabac,Palawan,,,,,,"1.65837040245533","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2566059","0.794077122005728",0,0,0,0,0,0
"2564677",Catagupan,Balabac,Palawan,,,,,,"1.339257638958784","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2564677","0.0482174791174671",0,0,0,0,0,0
"2564678",Catagupan,Balabac,Palawan,"4.966476","1.299369","13.152498","4.850976","6.06372","1.084833240509033","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2564678","0.0416756357243436",14.899428,3.898107,84.632211,39.457494,18.19116,14.552928
"2564679",Catagupan,Balabac,Palawan,"4.966476","1.299369","13.152498","4.850976000000002","6.063720000000002","0.848242880344391","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2564679","0.0418653893214682",49.66476,12.99369,282.10737,131.52498,60.6372,48.50976
"2564680",Catagupan,Balabac,Palawan,"4.966476","1.299369","13.152498","4.850976","6.06372","1.592487347936167","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2564680","0.163800317629543",4.966476,1.299369,28.210737,13.152498,6.06372,4.850976
"2564681",Catagupan,Balabac,Palawan,,,,,,"2.942452490329742","0.502208183","0.925575843","0.917858161",,"0","0","0","2564681","0.0529028886259536",0,0,0,0,0,0
"2564682",Catagupan,Balabac,Palawan,,,,,,"2.09254681567351","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2564682","0.053704268488321",0,0,0,0,0,0
"2564683",Catagupan,Balabac,Palawan,,,,,,"0.62306964063887","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2564683","0.172493634825601",0,0,0,0,0,0
"2564684",Agutayan,Balabac,Palawan,,,,,,"0.134069289770915","0.488369281","0.933480399","0.894437341","0.0","0","0","0","2564684","0.0",0,0,0,0,0,0
"2564685",Agutayan,Balabac,Palawan,"5.248662","0.761903","14.941755","5.164006","6.814795000000004","0.426188871101781","0.488369281","0.933480399","0.894437341","0.0","0","0","0","2564685","0.0456133092017212",89.227254,12.952351,511.61755,254.009835,115.851515,87.788102
"2564686",Rabor,Balabac,Palawan,,,,,,"0.912108509242535","0.480262569","0.933982849","0.845035207","0.0","0","0","0","2564686","0.0975960291897219",0,0,0,0,0,0
"2566058",Catagupan,Balabac,Palawan,"4.966476","1.299369","13.152498","4.850976","6.06372","2.005698645193326","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2566058","0.114844984826842",4.96647599980124,1.299368999948,28.210736998871,13.1524979994736,6.06371999975733,4.85097599980586
"2566059",Catagupan,Balabac,Palawan,,,,,,"1.248055869188064","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2566059","0.311829219733064",0,0,0,0,0,0
"2566060",Catagupan,Balabac,Palawan,,,,,,"1.44672935628891","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2566060","0.185250003685472",0,0,0,0,0,0
"2566061",Catagupan,Balabac,Palawan,,,,,,"0.310257919216424","0.502208183","0.925575843","0.917858161","0.0","0","0","1","2566061","0.0128420619481129",0,0,0,0,0,0
"2566062",Catagupan,Balabac,Palawan,"4.966476","1.299369","13.152498","4.850976","6.06372","0.261223736105205","0.502208183","0.925575843","0.917858161","0.0","0","0","0","2566062","0.0",9.932952,2.598738,56.421474,26.304996,12.12744,9.701952
