ID,bg_id,barangay_name,city_name,province_name,region_name,RHU_Presence,Road_Presence,POI_Presence,buildability_landcov,Nearest_RHU,Distance_to_Nearest_RHU_km,drought_value,flood_probability_value,rain intensity_value,children_u,elderly_60,women_repr,womenmean,youthmean,all_popula
2708537,bg-39207,Likud Bakkao,Turtle Islands,Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2899307,216.53556311758447,0.587594213,0.00330223,0.819814682,0.861518,0.429093000000001,3.033753999999993,4.887959000000012,2.387868999999999,
2720913,bg-39123,Sikub,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,248.67061198235305,0.542750041,0.636562642,0.75998193,0.205077,0.126357189189189,0.561532162162162,1.040951918918919,0.436198256756757,0.79335789610782
2720914,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,248.1078230016132,0.54214227,0.637052327,0.760291457,0.71796,0.229747,0.896653,1.978380000000001,0.494595,1.275429105057436
2722294,bg-39118,Kompang,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,247.85842423051156,0.539215321,0.53410196,0.757253647,0.120269574803149,0.109261236220472,0.506118480314961,0.885944125984252,0.426542102362204,0.316529466303247
2722295,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,247.35291456537257,0.54214227,0.637052327,0.760291457,0.643298971830986,0.214702408450704,0.828092788732394,1.811541295774649,0.474044985915493,0.742784834036263
2722296,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,246.72655509561687,0.54214227,0.637052327,0.760291457,0.337510263157895,0.153084368421052,0.547291157894737,1.128221052631577,0.389878421052632,0.843981016933182
2723676,bg-39126,Umus Mataha,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,246.75928445462037,0.535090556,0.4526877,0.754137802,0.830071606741574,0.139478370786517,1.459476348314608,2.865635056179778,1.232172741573033,0.834779950783407
2723677,bg-39118,Kompang,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,246.24600266643185,0.539215321,0.53410196,0.757253647,0.907408963855421,0.343768662650602,1.890911277108435,3.661896843373492,1.331540554216868,1.346384152450732
2723678,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,245.74272145766224,0.54214227,0.637052327,0.760291457,0.281251306930693,0.140765554455445,0.564618247524751,1.111525663366334,0.441598405940594,0.790206436309025
2723679,bg-39127,Erok-erok,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,245.28857989617904,0.54214227,0.637052327,0.760291457,0.277464552238806,0.140982104477612,0.778206238805969,1.450764701492536,0.601762298507463,1.883427542116907
2725057,bg-39130,Sapa,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,245.6478745495596,0.542619826,0.641394842,0.750640726,0.893594882352942,0.305773117647059,1.691111627450982,3.36023901960784,1.265551254901963,2.27169695180682
2725059,bg-39122,Pawan,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,244.6340472606165,0.542513326,0.613796792,0.758289003,1.409373387096775,0.601491516129032,2.732640145161294,5.341778290322576,1.820596629032257,2.870119434401447
2725060,bg-39116,Boki,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,244.16521437571367,0.544660505,0.621251121,0.770480076,0.362727114503817,0.158006312977099,1.408012908396945,2.521679068702289,1.067474435114504,1.128290179647317
2726440,bg-39126,Umus Mataha,Mapun (Cagayan De Tawi-Tawi),Tawi-Tawi,Autonomous Region In Muslim Mindanao (ARMM),0,0,0,,2950371,244.04438926234673,0.535090556,0.4526877,0.754137802,0.761156474820142,0.190611208633094,1.045846237410073,2.206558093525185,0.701342244604317,1.333231266397629
